Année scolaire;Code région;Code région Insee;Libellé région académique;Code académie;Libellé académie;Code département;Libellé département;Code commune Insee;Libellé commune;UAI;Nom de l'établissement;Secteur;IPS;Ecart type de l'IPS;IPS national privé;IPS national public;IPS national;IPS académique privé;IPS académique public;IPS académique;IPS départemental privé;IPS départemental public;IPS départemental;Latitude et longitude WGS84
2024-2025;06;44;GRAND EST;19;REIMS;51;MARNE;51649;VITRY LE FRANCOIS;0511256N;COLLEGE LES INDES;public;87.4;28.2;125.1;100.9;106.1;119.6;94.3;99.0;122.6;97.1;102.6;48.72877575805801, 4.580520187764212
2024-2025;06;44;GRAND EST;19;REIMS;51;MARNE;51230;EPERNAY;0511327R;COLLEGE TERRES ROUGES;public;88.3;27.4;125.1;100.9;106.1;119.6;94.3;99.0;122.6;97.1;102.6;49.02791590487967, 3.957149511920305
2024-2025;06;44;GRAND EST;19;REIMS;51;MARNE;51237;ESTERNAY;0511567B;COLLEGE DU GRAND MORIN;public;99.0;31.0;125.1;100.9;106.1;119.6;94.3;99.0;122.6;97.1;102.6;48.7309188805646, 3.556340443422617
2024-2025;06;44;GRAND EST;19;REIMS;51;MARNE;51172;CORMONTREUIL;0511961E;COLLEGE PIERRE DE COUBERTIN;public;99.1;34.4;125.1;100.9;106.1;119.6;94.3;99.0;122.6;97.1;102.6;49.219596209033455, 4.034516698454307
2024-2025;06;44;GRAND EST;19;REIMS;51;MARNE;51662;WITRY LES REIMS;0512014M;COLLEGE LEONARD DE VINCI;public;116.8;32.9;125.1;100.9;106.1;119.6;94.3;99.0;122.6;97.1;102.6;49.291686636816166, 4.108070626688349
2024-2025;06;44;GRAND EST;19;REIMS;52;HAUTE-MARNE;52197;FAYL BILLOT;0520017L;COLLEGE DES TROIS PROVINCES;public;89.2;25.7;125.1;100.9;106.1;119.6;94.3;99.0;111.9;92.0;94.8;47.78091344389857, 5.606789606755099
2024-2025;06;44;GRAND EST;19;REIMS;52;HAUTE-MARNE;52331;LA PORTE DU DER;0520022S;COLLEGE JEAN RENOIR;public;99.0;31.0;125.1;100.9;106.1;119.6;94.3;99.0;111.9;92.0;94.8;48.48056589660886, 4.767730387677093
2024-2025;17;52;PAYS DE LA LOIRE;17;NANTES;53;MAYENNE;53077;COSSE LE VIVIEN;0530030V;COLLEGE L ORIETTE;public;98.9;31.0;125.1;100.9;106.1;117.5;102.8;109.1;108.8;97.8;102.5;47.94357087521468, -0.91006964851329
2024-2025;17;52;PAYS DE LA LOIRE;17;NANTES;53;MAYENNE;53084;CRAON;0530055X;COLLEGE PRIVE LE PRIEURE ENSEMBLE SCOLAIRE BX FRASSATI;privé sous contrat;99.1;26.7;125.1;100.9;106.1;117.5;102.8;109.1;108.8;97.8;102.5;47.845267577998804, -0.9608904072250524
2024-2025;17;52;PAYS DE LA LOIRE;17;NANTES;53;MAYENNE;53152;MESLAY DU MAINE;0530063F;COLLEGE PRIVE NOTRE DAME;privé sous contrat;106.7;27.6;125.1;100.9;106.1;117.5;102.8;109.1;108.8;97.8;102.5;47.948945331398356, -0.5529804329690036
2024-2025;17;52;PAYS DE LA LOIRE;17;NANTES;53;MAYENNE;53161;MONTSURS;0530792Y;COLLEGE BEATRIX DE GAVRE;public;101.8;26.6;125.1;100.9;106.1;117.5;102.8;109.1;108.8;97.8;102.5;48.132099742579655, -0.5560441830364663
2024-2025;17;52;PAYS DE LA LOIRE;17;NANTES;53;MAYENNE;53062;CHATEAU GONTIER SUR MAYENNE;0530827L;COLLEGE PAUL EMILE VICTOR;public;106.8;33.1;125.1;100.9;106.1;117.5;102.8;109.1;108.8;97.8;102.5;47.837114059889466, -0.6995424181704569
2024-2025;17;52;PAYS DE LA LOIRE;17;NANTES;53;MAYENNE;53130;LAVAL;0530914F;COLLEGE FERNAND PUECH;public;109.9;37.1;125.1;100.9;106.1;117.5;102.8;109.1;108.8;97.8;102.5;48.073132062117665, -0.7659097208520368
2024-2025;06;44;GRAND EST;12;NANCY-METZ;54;MEURTHE-ET-MOSELLE;54099;VAL DE BRIEY;0540008R;COLLEGE JULES FERRY;public;102.1;30.9;125.1;100.9;106.1;122.6;97.2;100.9;125.5;100.3;104.1;49.238831783153174, 5.972430533922175
2024-2025;06;44;GRAND EST;12;NANCY-METZ;54;MEURTHE-ET-MOSELLE;54176;EINVILLE AU JARD;0540017A;COLLEGE CHARLES MAXIMILIEN DUVIVIER;public;109.7;30.4;125.1;100.9;106.1;122.6;97.2;100.9;125.5;100.3;104.1;48.66162041414905, 6.482570266734345
2024-2025;06;44;GRAND EST;12;NANCY-METZ;54;MEURTHE-ET-MOSELLE;54518;THIAUCOURT REGNIEVILLE;0540064B;COLLEGE FERDINAND BUISSON;public;97.5;29.5;125.1;100.9;106.1;122.6;97.2;100.9;125.5;100.3;104.1;48.95023883684387, 5.870090150374094
2024-2025;06;44;GRAND EST;12;NANCY-METZ;54;MEURTHE-ET-MOSELLE;54184;ESSEY LES NANCY;0541211Y;COLLEGE EMILE GALLE;public;105.0;33.7;125.1;100.9;106.1;122.6;97.2;100.9;125.5;100.3;104.1;48.70004339242134, 6.2216805889771125
2024-2025;06;44;GRAND EST;12;NANCY-METZ;54;MEURTHE-ET-MOSELLE;54159;DOMBASLE SUR MEURTHE;0541325X;COLLEGE EMBANIE;public;109.7;33.3;125.1;100.9;106.1;122.6;97.2;100.9;125.5;100.3;104.1;48.61695802859028, 6.362330096456626
2024-2025;06;44;GRAND EST;12;NANCY-METZ;54;MEURTHE-ET-MOSELLE;54323;LONGWY;0541334G;COLLEGE ALBERT LEBRUN;public;82.2;26.1;125.1;100.9;106.1;122.6;97.2;100.9;125.5;100.3;104.1;49.53239073301865, 5.761939597672267
2024-2025;06;44;GRAND EST;12;NANCY-METZ;54;MEURTHE-ET-MOSELLE;54115;CHAMPIGNEULLES;0541466A;COLLEGE JULIEN FRANCK;public;103.8;35.5;125.1;100.9;106.1;122.6;97.2;100.9;125.5;100.3;104.1;48.72933536396607, 6.1691194380395675
2024-2025;06;44;GRAND EST;12;NANCY-METZ;54;MEURTHE-ET-MOSELLE;54304;LAXOU;0541469D;COLLEGE LA FONTAINE;public;70.7;22.6;125.1;100.9;106.1;122.6;97.2;100.9;125.5;100.3;104.1;48.69846285671614, 6.134789846987164
2024-2025;06;44;GRAND EST;12;NANCY-METZ;54;MEURTHE-ET-MOSELLE;54395;NANCY;0541501N;COLLEGE NIKI DE SAINT PHALLE;public;94.9;35.5;125.1;100.9;106.1;122.6;97.2;100.9;125.5;100.3;104.1;48.67062395524581, 6.159480374961708
2024-2025;06;44;GRAND EST;12;NANCY-METZ;54;MEURTHE-ET-MOSELLE;54415;PAGNY SUR MOSELLE;0541567K;COLLEGE LA PLANTE GRIBE;public;107.6;31.1;125.1;100.9;106.1;122.6;97.2;100.9;125.5;100.3;104.1;48.98164642171792, 6.017649968599069
2024-2025;06;44;GRAND EST;12;NANCY-METZ;54;MEURTHE-ET-MOSELLE;54397;NEUVES MAISONS;0541573S;COLLEGE JACQUES CALLOT;public;112.8;32.8;125.1;100.9;106.1;122.6;97.2;100.9;125.5;100.3;104.1;48.62155664950468, 6.112590056949817
2024-2025;06;44;GRAND EST;12;NANCY-METZ;54;MEURTHE-ET-MOSELLE;54321;LONGLAVILLE;0541578X;COLLEGE LEODILE BERA;public;81.1;28.3;125.1;100.9;106.1;122.6;97.2;100.9;125.5;100.3;104.1;49.527375055269054, 5.797190256340773
2024-2025;06;44;GRAND EST;12;NANCY-METZ;54;MEURTHE-ET-MOSELLE;54274;JARVILLE LA MALGRANGE;0541817G;COLLEGE ALBERT CAMUS;public;77.2;27.4;125.1;100.9;106.1;122.6;97.2;100.9;125.5;100.3;104.1;48.675842470971745, 6.201199399255605
2024-2025;06;44;GRAND EST;12;NANCY-METZ;54;MEURTHE-ET-MOSELLE;54395;NANCY;0541995A;COLLEGE PRIVE NOTRE DAME SAINT SIGISBERT;privé sous contrat;143.3;30.3;125.1;100.9;106.1;122.6;97.2;100.9;125.5;100.3;104.1;48.69510894372223, 6.173809508900036
2024-2025;06;44;GRAND EST;12;NANCY-METZ;54;MEURTHE-ET-MOSELLE;54528;TOUL;0541999E;COLLEGE PRIVE JEAN BAPTISTE VATELOT;privé sous contrat;111.9;27.2;125.1;100.9;106.1;122.6;97.2;100.9;125.5;100.3;104.1;48.67299644470557, 5.8922795740807254
2024-2025;06;44;GRAND EST;12;NANCY-METZ;54;MEURTHE-ET-MOSELLE;54580;VILLERUPT;0542418K;COLLEGE THEODORE MONOD;public;89.8;29.2;125.1;100.9;106.1;122.6;97.2;100.9;125.5;100.3;104.1;49.46190293152584, 5.925479841811349
2024-2025;06;44;GRAND EST;12;NANCY-METZ;55;MEUSE;55145;DAMVILLERS;0550009L;COLLEGE JULES BASTIEN LEPAGE;public;89.0;28.0;125.1;100.9;106.1;122.6;97.2;100.9;117.6;94.2;97.2;49.337805015160335, 5.399650046284551
2024-2025;06;44;GRAND EST;12;NANCY-METZ;55;MEUSE;55215;GONDRECOURT LE CHATEAU;0550013R;COLLEGE VAL D ORNOIS;public;88.6;24.1;125.1;100.9;106.1;122.6;97.2;100.9;117.6;94.2;97.2;48.51468466384766, 5.502500099987518
2024-2025;06;44;GRAND EST;12;NANCY-METZ;55;MEUSE;55029;BAR LE DUC;0550046B;COLLEGE PRIVE LA CROIX;privé sous contrat;123.7;30.4;125.1;100.9;106.1;122.6;97.2;100.9;117.6;94.2;97.2;48.77208446324293, 5.161390457925054
2024-2025;06;44;GRAND EST;12;NANCY-METZ;55;MEUSE;55545;VERDUN;0550050F;COLLEGE PRIVE SAINT JEAN DE GLORIEUX;privé sous contrat;121.0;25.8;125.1;100.9;106.1;122.6;97.2;100.9;117.6;94.2;97.2;49.1573371284597, 5.358249990970153
2024-2025;06;44;GRAND EST;12;NANCY-METZ;55;MEUSE;55545;VERDUN;0550055L;COLLEGE PRIVE SAINTE ANNE;privé sous contrat;114.1;30.2;125.1;100.9;106.1;122.6;97.2;100.9;117.6;94.2;97.2;49.15985486422049, 5.380950253435187
2024-2025;06;44;GRAND EST;12;NANCY-METZ;55;MEUSE;55122;COMMERCY;0550840P;COLLEGE LES TILLEULS;public;94.8;30.2;125.1;100.9;106.1;122.6;97.2;100.9;117.6;94.2;97.2;48.75645369815035, 5.580449924292756
2024-2025;06;44;GRAND EST;12;NANCY-METZ;55;MEUSE;55010;ANCERVILLE;0550848Y;COLLEGE EMILIE CARLES;public;101.4;28.6;125.1;100.9;106.1;122.6;97.2;100.9;117.6;94.2;97.2;48.63474946745456, 5.016240494093964
2024-2025;03;53;BRETAGNE;14;RENNES;56;MORBIHAN;56023;BRECH;0560023W;COLLEGE PRIVE SAINT GILDAS;privé sous contrat;120.1;30.4;125.1;100.9;106.1;116.9;105.9;110.7;112.7;104.2;108.6;47.686278398793235, -3.009659680141044
2024-2025;03;53;BRETAGNE;14;RENNES;56;MORBIHAN;56117;LOCMINE;0560024X;COLLEGE JEAN MOULIN;public;93.4;28.8;125.1;100.9;106.1;116.9;105.9;110.7;112.7;104.2;108.6;47.8796104514724, -2.8283396373050853
2024-2025;03;53;BRETAGNE;14;RENNES;56;MORBIHAN;56121;LORIENT;0560029C;COLLEGE AUGUSTE BRIZEUX;public;114.6;38.9;125.1;100.9;106.1;116.9;105.9;110.7;112.7;104.2;108.6;47.74406183756184, -3.361000586410473
2024-2025;03;53;BRETAGNE;14;RENNES;56;MORBIHAN;56127;MAURON;0560032F;COLLEGE MADAME DE SEVIGNE;public;86.4;29.8;125.1;100.9;106.1;116.9;105.9;110.7;112.7;104.2;108.6;48.07583533151148, -2.2925795161586278
2024-2025;03;53;BRETAGNE;14;RENNES;56;MORBIHAN;56075;GUER;0560061M;COLLEGE BROCELIANDE;public;103.9;31.1;125.1;100.9;106.1;116.9;105.9;110.7;112.7;104.2;108.6;47.94716585479618, -2.1328395975388856
2024-2025;03;53;BRETAGNE;14;RENNES;56;MORBIHAN;56165;PLOERMEL;0560108N;COLLEGE PRIVE SACRE COEUR;privé sous contrat;111.9;31.0;125.1;100.9;106.1;116.9;105.9;110.7;112.7;104.2;108.6;47.930035421743334, -2.39327956572684
2024-2025;03;53;BRETAGNE;14;RENNES;56;MORBIHAN;56260;VANNES;0560115W;COLLEGE PRIVE NOTRE DAME LE MENIMUR;privé sous contrat;113.3;32.5;125.1;100.9;106.1;116.9;105.9;110.7;112.7;104.2;108.6;47.66781087950591, -2.765059569906078
2024-2025;03;53;BRETAGNE;14;RENNES;56;MORBIHAN;56034;CARNAC;0560127J;COLLEGE PRIVE SAINT MICHEL;privé sous contrat;118.2;30.7;125.1;100.9;106.1;116.9;105.9;110.7;112.7;104.2;108.6;47.585756663175864, -3.0738896625471344
2024-2025;03;53;BRETAGNE;14;RENNES;56;MORBIHAN;56152;LE PALAIS;0560154N;COLLEGE PRIVE SAINTE CROIX;privé sous contrat;104.2;29.1;125.1;100.9;106.1;116.9;105.9;110.7;112.7;104.2;108.6;47.346663819167325, -3.1583498579441316
2024-2025;03;53;BRETAGNE;14;RENNES;56;MORBIHAN;56057;LE FAOUET;0560158T;COLLEGE PRIVE SAINTE BARBE;privé sous contrat;101.8;28.4;125.1;100.9;106.1;116.9;105.9;110.7;112.7;104.2;108.6;48.029970690866335, -3.4838395329559018
2024-2025;03;53;BRETAGNE;14;RENNES;56;MORBIHAN;56010;BAUD;0561399S;COLLEGE PRIVE NOTRE DAME DE LA CLARTE;privé sous contrat;103.3;25.9;125.1;100.9;106.1;116.9;105.9;110.7;112.7;104.2;108.6;47.87702296934072, -3.0183200719134367
2024-2025;03;53;BRETAGNE;14;RENNES;56;MORBIHAN;56176;PLUNERET;0561616C;COLLEGE KERFONTAINE;public;112.5;30.5;125.1;100.9;106.1;116.9;105.9;110.7;112.7;104.2;108.6;47.67372729350005, -2.9633701832608836
2024-2025;03;53;BRETAGNE;14;RENNES;56;MORBIHAN;56260;VANNES;0561792U;COLLEGE PRIVE DIWAN;privé sous contrat;125.1;32.5;125.1;100.9;106.1;116.9;105.9;110.7;112.7;104.2;108.6;47.64517811277417, -2.776588639484397
2024-2025;06;44;GRAND EST;12;NANCY-METZ;57;MOSELLE;57171;DELME;0570020M;COLLEGE ANDRE MALRAUX;public;111.5;30.9;125.1;100.9;106.1;122.6;97.2;100.9;124.1;95.4;99.8;48.89043785974699, 6.392979898790417
2024-2025;06;44;GRAND EST;12;NANCY-METZ;57;MOSELLE;57620;SAINTE MARIE AUX CHENES;0570091P;COLLEGE GABRIEL PIERNE;public;104.7;32.8;125.1;100.9;106.1;122.6;97.2;100.9;124.1;95.4;99.8;49.194653811357014, 5.995300290537849
2024-2025;06;44;GRAND EST;12;NANCY-METZ;57;MOSELLE;57628;SARRALBE;0570093S;COLLEGE ROBERT DOISNEAU;public;93.9;33.2;125.1;100.9;106.1;122.6;97.2;100.9;124.1;95.4;99.8;48.98280036455819, 7.022000014992119
2024-2025;06;44;GRAND EST;12;NANCY-METZ;57;MOSELLE;57660;STIRING WENDEL;0570104D;COLLEGE NICOLAS UNTERSTELLER;public;66.9;19.9;125.1;100.9;106.1;122.6;97.2;100.9;124.1;95.4;99.8;49.19226476766512, 6.916059753764804
2024-2025;06;44;GRAND EST;12;NANCY-METZ;57;MOSELLE;57049;LE BAN SAINT MARTIN;0570128E;COLLEGE JEAN BAUCHEZ;public;120.5;37.6;125.1;100.9;106.1;122.6;97.2;100.9;124.1;95.4;99.8;49.12276512893662, 6.150850075511837
2024-2025;06;44;GRAND EST;12;NANCY-METZ;57;MOSELLE;57630;SARREBOURG;0570213X;COLLEGE PRIVE SAINTE MARIE;privé sous contrat;98.2;27.1;125.1;100.9;106.1;122.6;97.2;100.9;124.1;95.4;99.8;48.7308306081634, 7.052029573253491
2024-2025;06;44;GRAND EST;12;NANCY-METZ;57;MOSELLE;57606;SAINT AVOLD;0570223H;COLLEGE PRIVE SAINTE CHRETIENNE;privé sous contrat;107.3;30.9;125.1;100.9;106.1;122.6;97.2;100.9;124.1;95.4;99.8;49.105085998696545, 6.707299631788658
2024-2025;06;44;GRAND EST;12;NANCY-METZ;57;MOSELLE;57240;FREYMING MERLEBACH;0570326V;COLLEGE CLAUDIE HAIGNERE;public;73.7;27.9;125.1;100.9;106.1;122.6;97.2;100.9;124.1;95.4;99.8;49.15473021261919, 6.817740550247311
2024-2025;06;44;GRAND EST;12;NANCY-METZ;57;MOSELLE;57724;VITRY SUR ORNE;0572019K;COLLEGE DU JUSTEMONT;public;96.5;29.8;125.1;100.9;106.1;122.6;97.2;100.9;124.1;95.4;99.8;49.27141681586413, 6.115579742149714
2024-2025;06;44;GRAND EST;12;NANCY-METZ;57;MOSELLE;57631;SARREGUEMINES;0572021M;COLLEGE DU HIMMELSBERG;public;96.0;34.2;125.1;100.9;106.1;122.6;97.2;100.9;124.1;95.4;99.8;49.10887125252949, 7.051549728822332
2024-2025;06;44;GRAND EST;12;NANCY-METZ;57;MOSELLE;57650;SIERCK LES BAINS;0572026T;COLLEGE GENERAL DE GAULLE;public;109.4;31.7;125.1;100.9;106.1;122.6;97.2;100.9;124.1;95.4;99.8;49.43835037943946, 6.356449657479204
2024-2025;06;44;GRAND EST;12;NANCY-METZ;57;MOSELLE;57631;SARREGUEMINES;0572184P;COLLEGE FULRAD;public;91.1;34.1;125.1;100.9;106.1;122.6;97.2;100.9;124.1;95.4;99.8;49.11907991323221, 7.074870160463598
2024-2025;06;44;GRAND EST;12;NANCY-METZ;57;MOSELLE;57463;METZ;0572352X;COLLEGE TAISON;public;114.3;42.8;125.1;100.9;106.1;122.6;97.2;100.9;124.1;95.4;99.8;49.11964939467414, 6.178529633992563
2024-2025;06;44;GRAND EST;12;NANCY-METZ;57;MOSELLE;57672;THIONVILLE;0572355A;COLLEGE LA MILLIAIRE;public;89.6;30.9;125.1;100.9;106.1;122.6;97.2;100.9;124.1;95.4;99.8;49.359789786726566, 6.147590016590711
2024-2025;06;44;GRAND EST;12;NANCY-METZ;57;MOSELLE;57205;FALCK;0572358D;COLLEGE LA GRANDE SAULE;public;98.1;30.6;125.1;100.9;106.1;122.6;97.2;100.9;124.1;95.4;99.8;49.236684630058534, 6.640810512311688
2024-2025;06;44;GRAND EST;12;NANCY-METZ;57;MOSELLE;57336;L HOPITAL;0572487U;COLLEGE FRANCOIS RABELAIS;public;78.3;25.2;125.1;100.9;106.1;122.6;97.2;100.9;124.1;95.4;99.8;49.1629203433612, 6.744419552148368
2024-2025;06;44;GRAND EST;12;NANCY-METZ;57;MOSELLE;57144;COCHEREN;0572490X;COLLEGE LE HERAPEL;public;95.0;27.9;125.1;100.9;106.1;122.6;97.2;100.9;124.1;95.4;99.8;49.13500447559153, 6.8598195200725876
2024-2025;06;44;GRAND EST;12;NANCY-METZ;57;MOSELLE;57751;WOIPPY;0572582X;COLLEGE PIERRE MENDES FRANCE;public;97.0;34.3;125.1;100.9;106.1;122.6;97.2;100.9;124.1;95.4;99.8;49.15662770962842, 6.1373995998984014
2024-2025;06;44;GRAND EST;12;NANCY-METZ;57;MOSELLE;57672;THIONVILLE;0572812X;COLLEGE HELENE BOUCHER;public;92.1;32.2;125.1;100.9;106.1;122.6;97.2;100.9;124.1;95.4;99.8;49.358497776663974, 6.1614832589172845
2024-2025;06;44;GRAND EST;12;NANCY-METZ;57;MOSELLE;57534;PELTRE;0572928Y;COLLEGE PRIVE NOTRE DAME;privé sous contrat;116.4;25.4;125.1;100.9;106.1;122.6;97.2;100.9;124.1;95.4;99.8;49.073960797484176, 6.217829688522011
2024-2025;02;27;BOURGOGNE-FRANCHE-COMTE;07;DIJON;58;NIEVRE;58145;LORMES;0580026N;COLLEGE PAUL BARREAU;public;104.3;31.3;125.1;100.9;106.1;122.0;101.2;104.3;113.1;99.4;101.2;47.277511326947476, 3.8217897382291386
2024-2025;02;27;BOURGOGNE-FRANCHE-COMTE;07;DIJON;58;NIEVRE;58180;MONTSAUCHE LES SETTONS;0580029S;COLLEGE DES GRANDS LACS DU MORVAN;public;101.2;26.3;125.1;100.9;106.1;122.0;101.2;104.3;113.1;99.4;101.2;47.216804145469624, 4.025400587461513
2024-2025;02;27;BOURGOGNE-FRANCHE-COMTE;07;DIJON;58;NIEVRE;58182;MOULINS ENGILBERT;0580030T;COLLEGE LES DEUX RIVIERES;public;103.2;28.6;125.1;100.9;106.1;122.0;101.2;104.3;113.1;99.4;101.2;46.98646080375931, 3.8060999784733864
2024-2025;02;27;BOURGOGNE-FRANCHE-COMTE;07;DIJON;58;NIEVRE;58215;POUILLY SUR LOIRE;0580035Y;COLLEGE LES GUILLERAULTS;public;94.9;28.9;125.1;100.9;106.1;122.0;101.2;104.3;113.1;99.4;101.2;47.28155863175143, 2.964779933587348
2024-2025;02;27;BOURGOGNE-FRANCHE-COMTE;07;DIJON;58;NIEVRE;58227;SAINT AMAND EN PUISAYE;0580037A;COLLEGE ARSENE FIE;public;98.9;26.3;125.1;100.9;106.1;122.0;101.2;104.3;113.1;99.4;101.2;47.53533313699535, 3.076626866414114
2024-2025;02;27;BOURGOGNE-FRANCHE-COMTE;07;DIJON;58;NIEVRE;58304;VARZY;0581009G;COLLEGE LE MONT CHATELET;public;92.1;25.9;125.1;100.9;106.1;122.0;101.2;104.3;113.1;99.4;101.2;47.3582014778439, 3.3819251981719725
2024-2025;09;32;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59008;ANICHE;0590002G;COLLEGE THEODORE MONOD;public;82.2;25.3;125.1;100.9;106.1;119.9;91.7;99.5;120.0;92.8;101.7;50.33181566173207, 3.247760687010971
2024-2025;09;32;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59178;DOUAI;0590068D;COLLEGE JULES FERRY;public;88.2;31.0;125.1;100.9;106.1;119.9;91.7;99.5;120.0;92.8;101.7;50.38175061469219, 3.0610115023258024
2024-2025;09;32;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59239;FLINES LEZ RACHES;0590082U;COLLEGE JEAN MOULIN;public;113.3;34.2;125.1;100.9;106.1;119.9;91.7;99.5;120.0;92.8;101.7;50.42710776071974, 3.184340322301246
2024-2025;09;32;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59269;GOUZEAUCOURT;0590087Z;COLLEGE PHARAMOND SAVARY;public;97.0;30.3;125.1;100.9;106.1;119.9;91.7;99.5;120.0;92.8;101.7;50.05717546786334, 3.1281674339819734
2024-2025;09;32;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59350;LILLE;0590115E;COLLEGE FRANKLIN;public;104.8;44.5;125.1;100.9;106.1;119.9;91.7;99.5;120.0;92.8;101.7;50.62910544167586, 3.070409601593442
2024-2025;09;32;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59512;ROUBAIX;0590183D;COLLEGE MADAME DE SEVIGNE;public;66.0;19.2;125.1;100.9;106.1;119.9;91.7;99.5;120.0;92.8;101.7;50.693177620016684, 3.164919554423088
2024-2025;09;32;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59606;VALENCIENNES;0592715F;COLLEGE CHARLES EISEN;public;113.9;40.4;125.1;100.9;106.1;119.9;91.7;99.5;120.0;92.8;101.7;50.365060906353754, 3.5320595657419096
2024-2025;09;32;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59220;FACHES THUMESNIL;0592830F;COLLEGE JEAN ZAY;public;86.9;30.6;125.1;100.9;106.1;119.9;91.7;99.5;120.0;92.8;101.7;50.60722395909997, 3.063599555138808
2024-2025;09;32;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59457;PERENCHIES;0592901H;COLLEGE PRIVE SAINTE MARIE;privé sous contrat;122.4;31.1;125.1;100.9;106.1;119.9;91.7;99.5;120.0;92.8;101.7;50.66847009944456, 2.9771094874562762
2024-2025;09;32;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59053;BAVAY;0592924H;COLLEGE PRIVE NOTRE DAME DE L ASSOMPTION;privé sous contrat;117.7;31.9;125.1;100.9;106.1;119.9;91.7;99.5;120.0;92.8;101.7;50.29775936616095, 3.7931281724438533
2024-2025;09;32;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59043;BAILLEUL;0592930P;COLLEGE PRIVE IMMACULEE CONCEPTION;privé sous contrat;119.8;30.9;125.1;100.9;106.1;119.9;91.7;99.5;120.0;92.8;101.7;50.739086043548625, 2.7297706785714615
2024-2025;09;32;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59168;CYSOING;0592960X;COLLEGE PRIVE NOTRE DAME;privé sous contrat;135.5;26.5;125.1;100.9;106.1;119.9;91.7;99.5;120.0;92.8;101.7;50.569808666277225, 3.215230309475054
2024-2025;09;32;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59350;LILLE;0593131H;COLLEGE PRIVE SAINT JOSEPH;privé sous contrat;104.3;33.3;125.1;100.9;106.1;119.9;91.7;99.5;120.0;92.8;101.7;50.62928989778109, 3.107342498302463
2024-2025;09;32;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59559;SEBOURG;0593144X;COLLEGE PRIVE SAINTE ANNE;privé sous contrat;119.9;33.7;125.1;100.9;106.1;119.9;91.7;99.5;120.0;92.8;101.7;50.3441221086375, 3.643660302490088
2024-2025;09;32;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59580;STEENVOORDE;0593147A;COLLEGE PRIVE NOTRE DAME DE LOURDES;privé sous contrat;113.4;31.2;125.1;100.9;106.1;119.9;91.7;99.5;120.0;92.8;101.7;50.811472454642704, 2.5804995793663936
2024-2025;09;32;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59647;WATTEN;0593159N;COLLEGE PRIVE SACRE COEUR;privé sous contrat;106.8;28.7;125.1;100.9;106.1;119.9;91.7;99.5;120.0;92.8;101.7;50.83391331367516, 2.2106302829503464
2024-2025;09;32;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59410;MONS EN BAROEUL;0593178J;COLLEGE FRANCOIS RABELAIS;public;71.4;27.1;125.1;100.9;106.1;119.9;91.7;99.5;120.0;92.8;101.7;50.641505858918435, 3.1151264135860846
2024-2025;09;32;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59009;VILLENEUVE D ASCQ;0593198F;COLLEGE PRIVE COMMUNAUTAIRE;privé sous contrat;112.3;33.5;125.1;100.9;106.1;119.9;91.7;99.5;120.0;92.8;101.7;50.65687147188959, 3.135390066643664
2024-2025;09;32;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59360;LOOS;0593233U;COLLEGE PROFESSEUR ALBERT DEBEYRE;public;93.3;33.5;125.1;100.9;106.1;119.9;91.7;99.5;120.0;92.8;101.7;50.61198061344932, 3.0212300656807765
2024-2025;09;32;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59507;RONCHIN;0593237Y;COLLEGE GERNEZ RIEUX;public;95.6;34.5;125.1;100.9;106.1;119.9;91.7;99.5;120.0;92.8;101.7;50.59900639074089, 3.091456659932265
2024-2025;09;32;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59650;WATTRELOS;0593242D;COLLEGE GUSTAVE NADAUD;public;80.4;21.7;125.1;100.9;106.1;119.9;91.7;99.5;120.0;92.8;101.7;50.70884740732559, 3.1978302784174524
2024-2025;09;32;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59152;COMINES;0593244F;COLLEGE PHILIPPE DE COMMYNES;public;82.8;31.0;125.1;100.9;106.1;119.9;91.7;99.5;120.0;92.8;101.7;50.75911346571574, 3.0121371917609854
2024-2025;09;32;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59392;MAUBEUGE;0593254S;COLLEGE JULES VERNE;public;67.6;22.9;125.1;100.9;106.1;119.9;91.7;99.5;120.0;92.8;101.7;50.290125601829985, 3.9636805802247674
