Rentrée scolaire;Académie;Code du département;Département;UAI;Nom de l'établissment;Code INSEE de la commune;Nom de la commune;Secteur;IPS
2021-2022;NANCY-METZ;088;VOSGES;0880805X;ECOLE ELEMENTAIRE DU CENTRE;88412;SAINT BENOIT LA CHIPOTTE;public;90.9
2021-2022;NANCY-METZ;088;VOSGES;0880807Z;ECOLE ELEMENTAIRE;88417;SAINT GORGON;public;91.9
2021-2022;NANCY-METZ;088;VOSGES;0880832B;ECOLE ELEMENTAIRE;88373;RAON SUR PLAINE;public;94.7
2021-2022;NANCY-METZ;088;VOSGES;0880876Z;ECOLE PRIMAIRE DES SOTRES JULIENRUPT;88462;LE SYNDICAT;public;90.1
2021-2022;NANCY-METZ;088;VOSGES;0880886K;ECOLE PRIMAIRE DU CENTRE;88088;LA CHAPELLE AUX BOIS;public;91.5
2021-2022;NANCY-METZ;088;VOSGES;0880955K;ECOLE PRIMAIRE LAUNOIS;88033;BAN DE SAPT;public;107.4
2021-2022;NANCY-METZ;088;VOSGES;0880956L;ECOLE ELEMENTAIRE;88053;BELVAL;public;82.6
2021-2022;NANCY-METZ;088;VOSGES;0881027N;GROUPE SCOLAIRE CAMILLE CLAUDEL;88413;SAINT DIE DES VOSGES;public;99.8
2021-2022;NANCY-METZ;088;VOSGES;0881042E;ECOLE ELEMENTAIRE DU CENTRE;88463;TAINTRUX;public;112.5
2021-2022;NANCY-METZ;088;VOSGES;0881045H;ECOLE ELEMENTAIRE DU CENTRE;88519;LA VOIVRE;public;86.6
2021-2022;NANCY-METZ;088;VOSGES;0881048L;ECOLE PRIMAIRE;88037;BASSE SUR LE RUPT;public;95.1
2021-2022;NANCY-METZ;088;VOSGES;0881093K;ECOLE ELEMENTAIRE LE HAUT DE FOL;88516;VITTEL;public;99.8
2021-2022;NANCY-METZ;088;VOSGES;0881276J;ECOLE PRIMAIRE PRIVEE JEANNE D ARC;88078;BRUYERES;privé sous contrat;83.1
2021-2022;NANCY-METZ;088;VOSGES;0881291A;ECOLE PRIMAIRE PRIVEE NOTRE DAME;88196;GERARDMER;privé sous contrat;109.2
2021-2022;NANCY-METZ;088;VOSGES;0881298H;ECOLE PRIMAIRE PRIVEE JEANNE D ARC;88321;NEUFCHATEAU;privé sous contrat;97.0
2021-2022;NANCY-METZ;088;VOSGES;0881304P;ECOLE PRIMAIRE PRIVEE SAINTE THERESE;88372;RAON L ETAPE;privé sous contrat;96.4
2021-2022;NANCY-METZ;088;VOSGES;0881306S;ECOLE PRIMAIRE PRIVEE SAINT ROMARIC;88383;REMIREMONT;privé sous contrat;107.0
2021-2022;NANCY-METZ;088;VOSGES;0881308U;ECOLE PRIMAIRE PRIVEE SAINTE MARIE;88413;SAINT DIE DES VOSGES;privé sous contrat;117.0
2021-2022;NANCY-METZ;088;VOSGES;0881327P;ECOLE PRIMAIRE;88201;GIRANCOURT;public;112.7
2021-2022;NANCY-METZ;088;VOSGES;0881328R;ECOLE PRIMAIRE;88212;GRAND;public;88.3
2021-2022;NANCY-METZ;088;VOSGES;0881351R;ECOLE PRIMAIRE;88099;CHAVELOT;public;110.1
2021-2022;NANCY-METZ;088;VOSGES;0881483J;ECOLE ELEMENTAIRE SAINT LAURENT;88160;EPINAL;public;94.8
2021-2022;NANCY-METZ;088;VOSGES;0881489R;ECOLE PRIMAIRE;88135;DOCELLES;public;87.5
2021-2022;NANCY-METZ;088;VOSGES;0881539V;ECOLE ELEMENTAIRE DU CENTRE;88424;SAINTE MARGUERITE;public;97.5
2021-2022;NANCY-METZ;088;VOSGES;0881580P;ECOLE PRIMAIRE;88029;LA VOGE LES BAINS;public;90.0
2021-2022;NANCY-METZ;088;VOSGES;0881581R;ECOLE PRIMAIRE;88151;DOMPAIRE;public;109.7
2021-2022;NANCY-METZ;088;VOSGES;0881599K;ECOLE ELEMENTAIRE EMILE DURKHEIM;88160;EPINAL;public;100.7
2021-2022;NANCY-METZ;088;VOSGES;0881605S;ECOLE ELEMENTAIRE;88124;DARNEY;public;91.8
2021-2022;NANCY-METZ;088;VOSGES;0881607U;ECOLE PRIMAIRE DU TILLEUL;88372;RAON L ETAPE;public;84.8
2021-2022;NANCY-METZ;088;VOSGES;0881608V;ECOLE ELEMENTAIRE;88148;DOMMARTIN LES REMIREMONT;public;111.6
2021-2022;NANCY-METZ;088;VOSGES;0881644J;ECOLE ELEMENTAIRE LE SAUT LE CERF;88160;EPINAL;public;81.9
2021-2022;NANCY-METZ;088;VOSGES;0881648N;ECOLE PRIMAIRE DU CENTRE;88481;URIMENIL;public;109.4
2021-2022;NANCY-METZ;088;VOSGES;0881687F;ECOLE PRIMAIRE;88441;SANS VALLOIS;public;86.9
2021-2022;NANCY-METZ;088;VOSGES;0881702X;ECOLE PRIMAIRE DU PERVIS;88310;MONTHUREUX SUR SAONE;public;92.6
2021-2022;NANCY-METZ;088;VOSGES;0881723V;ECOLE PRIMAIRE LES NEUF HORIZONS;88280;MADEGNEY;public;100.4
2021-2022;NANCY-METZ;088;VOSGES;0881753C;ECOLE PRIMAIRE DES 3 VILLAGES;88322;LA NEUVEVILLE DEVANT LEPANGES;public;90.5
2021-2022;DIJON;089;YONNE;0890094U;ECOLE ELEMENTAIRE RENOIR;89024;AUXERRE;public;71.0
2021-2022;DIJON;089;YONNE;0890124B;ECOLE ELEMENTAIRE;89134;CUSSY LES FORGES;public;104.5
2021-2022;DIJON;089;YONNE;0890128F;ECOLE PRIMAIRE;89267;MONTREAL;public;101.2
2021-2022;DIJON;089;YONNE;0890150E;ECOLE ELEMENTAIRE;89312;PRECY LE SEC;public;98.0
2021-2022;DIJON;089;YONNE;0890186U;ECOLE PRIMAIRE;89153;EPINEUIL;public;104.8
2021-2022;DIJON;089;YONNE;0890195D;ECOLE PRIMAIRE DES PRES HAUTS;89418;TONNERRE;public;75.7
2021-2022;DIJON;089;YONNE;0890209U;ECOLE ELEMENTAIRE PAUL BERT;89309;PONT SUR YONNE;public;90.8
2021-2022;DIJON;089;YONNE;0890221G;ECOLE ELEMENTAIRE;89133;CUDOT;public;95.8
2021-2022;DIJON;089;YONNE;0890265E;ECOLE ELEMENTAIRE;89113;COLLEMIERS;public;113.6
2021-2022;DIJON;089;YONNE;0890300T;ECOLE ELEMENTAIRE;89199;GY L EVEQUE;public;108.5
2021-2022;DIJON;089;YONNE;0890398Z;ECOLE ELEMENTAIRE D APPLICATION LES BOUSSICATS;89024;AUXERRE;public;102.3
2021-2022;DIJON;089;YONNE;0890400B;ECOLE PRIMAIRE LES CLAIRIONS;89024;AUXERRE;public;110.4
2021-2022;DIJON;089;YONNE;0890448D;ECOLE ELEMENTAIRE;89295;PERRIGNY;public;110.4
2021-2022;DIJON;089;YONNE;0890454K;ECOLE PRIMAIRE;89453;VILLEFARGEAU;public;116.7
2021-2022;DIJON;089;YONNE;0890473F;ECOLE ELEMENTAIRE;89062;CARISEY;public;96.3
2021-2022;DIJON;089;YONNE;0890483S;ECOLE ELEMENTAIRE;89292;PERCEY;public;91.9
2021-2022;DIJON;089;YONNE;0890489Y;ECOLE ELEMENTAIRE;89474;VILLIERS VINEUX;public;100.7
2021-2022;DIJON;089;YONNE;0890490Z;ECOLE PRIMAIRE DE PARIS;89024;AUXERRE;public;110.3
2021-2022;DIJON;089;YONNE;0890524L;ECOLE ELEMENTAIRE MARIE NOËL;89145;DOMECY SUR CURE;public;95.0
2021-2022;DIJON;089;YONNE;0890556W;ECOLE PRIMAIRE;89436;VENIZY;public;92.8
2021-2022;DIJON;089;YONNE;0890560A;ECOLE PRIMAIRE;89066;CERISIERS;public;99.1
2021-2022;DIJON;089;YONNE;0890570L;ECOLE ELEMENTAIRE;89144;DOMATS;public;99.4
2021-2022;DIJON;089;YONNE;0890572N;ECOLE PRIMAIRE;89209;JOUY;public;102.3
2021-2022;DIJON;089;YONNE;0890602W;ECOLE PRIMAIRE;89067;CEZY;public;91.7
2021-2022;DIJON;089;YONNE;0890604Y;ECOLE ELEMENTAIRE;89075;CHAMPLAY;public;103.4
2021-2022;DIJON;089;YONNE;0890611F;ECOLE PRIMAIRE ALBERT GARNIER;89206;JOIGNY;public;76.2
2021-2022;DIJON;089;YONNE;0890621S;ECOLE PRIMAIRE GEORGES VARENNES;89218;LAROCHE SAINT CYDROINE;public;90.5
2021-2022;DIJON;089;YONNE;0890655D;ECOLE PRIMAIRE JEAN PEZENNEC;89345;SAINT FLORENTIN;public;73.3
2021-2022;DIJON;089;YONNE;0890670V;ECOLE PRIMAIRE;89268;MONT SAINT SULPICE;public;104.6
2021-2022;DIJON;089;YONNE;0890671W;ECOLE PRIMAIRE;89282;ORMOY;public;112.1
2021-2022;DIJON;089;YONNE;0890724D;ECOLE ELEMENTAIRE;89051;LES BORDES;public;107.2
2021-2022;DIJON;089;YONNE;0890744A;ECOLE ELEMENTAIRE;89196;VALRAVILLON;public;107.5
2021-2022;DIJON;089;YONNE;0890754L;ECOLE PRIMAIRE;89384;SENAN;public;99.7
2021-2022;DIJON;089;YONNE;0890811Y;ECOLE PRIMAIRE PRIVEE SAINTE THERESE;89206;JOIGNY;privé sous contrat;109.0
2021-2022;DIJON;089;YONNE;0890826P;ECOLE ELEMENTAIRE JEAN BAPTISTE CHAUVEAU;89460;VILLENEUVE LA GUYARD;public;100.3
2021-2022;DIJON;089;YONNE;0890865G;ECOLE PRIMAIRE ROSOY (LES ROSEAUX);89326;ROSOY;public;103.9
2021-2022;DIJON;089;YONNE;0890884C;ECOLE ELEMENTAIRE PIERRE CURIE;89287;PARON;public;98.9
2021-2022;DIJON;089;YONNE;0890925X;ECOLE PRIMAIRE PUBLIQUE;89201;HERY;public;111.1
2021-2022;DIJON;089;YONNE;0890927Z;ECOLE PRIMAIRE PUBLIQUE;89318;QUARRE LES TOMBES;public;96.3
2021-2022;DIJON;089;YONNE;0890929B;ECOLE PRIMAIRE;89046;BLENEAU;public;96.6
2021-2022;DIJON;089;YONNE;0890933F;ECOLE PRIMAIRE;89478;VINCELLES;public;106.1
2021-2022;DIJON;089;YONNE;0890942R;ECOLE PRIMAIRE;89119;COULANGES SUR YONNE;public;89.9
2021-2022;DIJON;089;YONNE;0890967T;ECOLE PRIMAIRE;89469;PERCENEIGE;public;94.2
2021-2022;DIJON;089;YONNE;0890974A;ECOLE PRIMAIRE LES LICES;89418;TONNERRE;public;81.9
2021-2022;DIJON;089;YONNE;0890987P;ECOLE ELEMENTAIRE;89283;OUANNE;public;99.8
2021-2022;DIJON;089;YONNE;0891019Z;ECOLE ELEMENTAIRE PIERRE LAROUSSE;89387;SENS;public;69.1
2021-2022;DIJON;089;YONNE;0891096H;ECOLE ELEMENTAIRE;89147;DRACY;public;88.5
2021-2022;DIJON;089;YONNE;0891240P;ECOLE PRIMAIRE D APPLICATION LES ROSOIRS;89024;AUXERRE;public;78.8
2021-2022;DIJON;089;YONNE;0891259K;ECOLE ELEMENTAIRE;89483;VOISINES;public;117.3
2021-2022;DIJON;089;YONNE;0891269W;ECOLE ELEMENTAIRE JULES FERRY;89387;SENS;public;73.4
2021-2022;BESANCON;090;TERRITOIRE DE BELFORT;0900020H;ECOLE ELEMENTAIRE LOUIS PERGAUD;90010;BELFORT;public;66.8
2021-2022;BESANCON;090;TERRITOIRE DE BELFORT;0900049P;ECOLE ELEMENTAIRE;90089;ROUGEMONT LE CHATEAU;public;107.3
2021-2022;BESANCON;090;TERRITOIRE DE BELFORT;0900053U;ECOLE ELEMENTAIRE MARIE FRANCE MOINE;90087;ROPPE;public;119.7
2021-2022;BESANCON;090;TERRITOIRE DE BELFORT;0900062D;ECOLE ELEMENTAIRE;90078;PETITEFONTAINE;public;106.2
2021-2022;BESANCON;090;TERRITOIRE DE BELFORT;0900066H;ECOLE ELEMENTAIRE DU CENTRE;90075;OFFEMONT;public;113.7
2021-2022;BESANCON;090;TERRITOIRE DE BELFORT;0900084C;ECOLE ELEMENTAIRE;90064;LEPUIX NEUF;public;100.0
2021-2022;BESANCON;090;TERRITOIRE DE BELFORT;0900176C;ECOLE ELEMENTAIRE F BOLLE;90009;BEAUCOURT;public;90.5
2021-2022;BESANCON;090;TERRITOIRE DE BELFORT;0900210P;ECOLE ELEMENTAIRE RAYMOND AUBERT;90010;BELFORT;public;82.4
2021-2022;BESANCON;090;TERRITOIRE DE BELFORT;0900224E;ECOLE ELEMENTAIRE;90003;ANJOUTEY;public;116.7
2021-2022;BESANCON;090;TERRITOIRE DE BELFORT;0900256P;ECOLE ELEMENTAIRE MARTINET;90075;OFFEMONT;public;77.0
2021-2022;BESANCON;090;TERRITOIRE DE BELFORT;0900261V;ECOLE PRIMAIRE PRIVEE SAINT JOSEPH;90010;BELFORT;privé sous contrat;125.2
2021-2022;BESANCON;090;TERRITOIRE DE BELFORT;0900265Z;ECOLE PRIMAIRE PRIVEE SAINT MARTIN;90053;GRANDVILLARS;privé sous contrat;102.5
2021-2022;BESANCON;090;TERRITOIRE DE BELFORT;0900279P;ECOLE ELEMENTAIRE;90022;CHATENOIS LES FORGES;public;112.3
2021-2022;BESANCON;090;TERRITOIRE DE BELFORT;0900336B;ECOLE ELEMENTAIRE;90065;LEPUIX;public;99.0
2021-2022;BESANCON;090;TERRITOIRE DE BELFORT;0900337C;ECOLE ELEMENTAIRE;90053;GRANDVILLARS;public;91.1
2021-2022;BESANCON;090;TERRITOIRE DE BELFORT;0900356Y;ECOLE ELEMENTAIRE;90081;RECHESY;public;95.5
2021-2022;BESANCON;090;TERRITOIRE DE BELFORT;0900365H;ECOLE PRIMAIRE VICTOR SCHOELCHER;90010;BELFORT;public;86.2
2021-2022;BESANCON;090;TERRITOIRE DE BELFORT;0900367K;ECOLE ELEMENTAIRE DES SOURCES;90042;EVETTE SALBERT;public;132.9
2021-2022;BESANCON;090;TERRITOIRE DE BELFORT;0900371P;ECOLE ELEMENTAIRE RENE RUCKLIN;90010;BELFORT;public;72.7
2021-2022;BESANCON;090;TERRITOIRE DE BELFORT;0900372R;ECOLE ELEMENTAIRE;90069;MEZIRE;public;110.1
2021-2022;BESANCON;090;TERRITOIRE DE BELFORT;0900373S;ECOLE PRIMAIRE L MICHEL;90033;DELLE;public;75.8
2021-2022;VERSAILLES;091;ESSONNE;0910064A;ECOLE ELEMENTAIRE GEORGES LEPLATRE;91200;DOURDAN;public;106.9
2021-2022;VERSAILLES;091;ESSONNE;0910074L;ECOLE ELEMENTAIRE LE CENTRE;91540;SAINT CHERON;public;117.2
2021-2022;VERSAILLES;091;ESSONNE;0910076N;ECOLE PRIMAIRE CECILE AUBRY;91546;SAINT CYR SOUS DOURDAN;public;126.0
2021-2022;VERSAILLES;091;ESSONNE;0910077P;ECOLE PRIMAIRE SIMONE SOUMIER;91568;SAINT MAURICE MONTCOURONNE;public;142.1
2021-2022;VERSAILLES;091;ESSONNE;0910086Z;ECOLE ELEMENTAIRE LES BLES EN HERBE;91175;CORBREUSE;public;116.0
2021-2022;VERSAILLES;091;ESSONNE;0910088B;ECOLE PRIMAIRE LES VERGERS;91284;LES GRANGES LE ROI;public;119.5
2021-2022;VERSAILLES;091;ESSONNE;0910090D;ECOLE ELEMENTAIRE ECOLE PUBLIQUE;91495;PLESSIS SAINT BENOIST;public;106.5
2021-2022;VERSAILLES;091;ESSONNE;0910147R;ECOLE ELEMENTAIRE LES SINGES VERTS;91099;BOUTIGNY SUR ESSONNE;public;116.9
2021-2022;VERSAILLES;091;ESSONNE;0910154Y;ECOLE PRIMAIRE LES FRERES LUMIERE;91198;D HUISON LONGUEVILLE;public;104.1
2021-2022;AMIENS;080;SOMME;0800950Y;ECOLE ELEMENTAIRE;80445;HUMBERCOURT;public;90.6
2021-2022;AMIENS;080;SOMME;0800970V;ECOLE PRIMAIRE DE L HALLUE;80704;SAINT GRATIEN;public;118.1
2021-2022;AMIENS;080;SOMME;0800978D;ECOLE ELEMENTAIRE;80625;TROIS RIVIERES;public;92.9
2021-2022;AMIENS;080;SOMME;0801014T;ECOLE PRIMAIRE;80078;BELLANCOURT;public;116.9
2021-2022;AMIENS;080;SOMME;0801029J;ECOLE ELEMENTAIRE LES PLATANES;80685;ROYE;public;69.4
2021-2022;AMIENS;080;SOMME;0801033N;ECOLE ELEMENTAIRE;80759;TILLOLOY;public;88.8
2021-2022;AMIENS;080;SOMME;0801074H;ECOLE PRIMAIRE LA SENTELETTE;80696;SAINS EN AMIENOIS;public;124.0
2021-2022;AMIENS;080;SOMME;0801128S;ECOLE PRIMAIRE LES PRIMEVERES;80630;POIX DE PICARDIE;public;98.5
2021-2022;AMIENS;080;SOMME;0801145K;ECOLE ELEMENTAIRE LE PETIT PRINCE;80681;ROUVREL;public;103.0
2021-2022;AMIENS;080;SOMME;0801147M;ECOLE ELEMENTAIRE;80740;SOURDON;public;104.2
2021-2022;AMIENS;080;SOMME;0801159A;ECOLE PRIMAIRE;80279;ERCHEU;public;85.7
2021-2022;AMIENS;080;SOMME;0801173R;ECOLE ELEMENTAIRE;80766;TOUTENCOURT;public;111.7
2021-2022;AMIENS;080;SOMME;0801187F;ECOLE PRIMAIRE ALAIN DETRE;80001;ABBEVILLE;public;62.8
2021-2022;AMIENS;080;SOMME;0801361V;ECOLE PRIMAIRE LA CHAPELETTE;80620;PERONNE;public;76.3
2021-2022;AMIENS;080;SOMME;0801387Y;ECOLE PRIMAIRE PRIVEE SAINT JACQUES;80021;AMIENS;privé sous contrat;120.5
2021-2022;AMIENS;080;SOMME;0801403R;ECOLE PRIMAIRE PRIVEE SACRE COEUR;80373;GAMACHES;privé sous contrat;91.7
2021-2022;AMIENS;080;SOMME;0801404S;ECOLE PRIMAIRE PRIVEE NOTRE DAME;80410;HAM;privé sous contrat;104.1
2021-2022;AMIENS;080;SOMME;0801458A;ECOLE ELEMENTAIRE CONDORCET;80021;AMIENS;public;82.4
2021-2022;AMIENS;080;SOMME;0801472R;ECOLE PRIMAIRE;80795;VILLE LE MARCLET;public;82.7
2021-2022;AMIENS;080;SOMME;0801493N;ECOLE ELEMENTAIRE;80345;FRANLEU;public;105.5
2021-2022;AMIENS;080;SOMME;0801494P;ECOLE PRIMAIRE;80438;HEUDICOURT;public;79.5
2021-2022;AMIENS;080;SOMME;0801500W;ECOLE PRIMAIRE GEORGES BRASSENS;80021;AMIENS;public;58.7
2021-2022;AMIENS;080;SOMME;0801551B;ECOLE ELEMENTAIRE;80167;CANCHY;public;98.1
2021-2022;AMIENS;080;SOMME;0801575C;ECOLE PRIMAIRE;80579;MUILLE VILLETTE;public;91.1
2021-2022;AMIENS;080;SOMME;0801608N;ECOLE PRIMAIRE DOLTO FERRY;80706;SAINT LEGER LES DOMART;public;81.9
2021-2022;AMIENS;080;SOMME;0801634S;ECOLE PRIMAIRE JEAN FRANCOIS LESUEUR;80021;AMIENS;public;114.2
2021-2022;AMIENS;080;SOMME;0801654N;ECOLE PRIMAIRE;80793;VIGNACOURT;public;94.9
2021-2022;AMIENS;080;SOMME;0801657S;ECOLE PRIMAIRE PETIT SAINT JEAN;80021;AMIENS;public;80.3
2021-2022;AMIENS;080;SOMME;0801674K;ECOLE PRIMAIRE;80406;HALLENCOURT;public;86.3
2021-2022;AMIENS;080;SOMME;0801848Z;ECOLE PRIMAIRE ROBERT MALLET;80635;PONT REMY;public;84.6
2021-2022;AMIENS;080;SOMME;0801861N;ECOLE PRIMAIRE DU CENTRE;80620;PERONNE;public;77.1
2021-2022;AMIENS;080;SOMME;0801862P;ECOLE ELEMENT D APPLICATION DELPECH;80021;AMIENS;public;130.1
2021-2022;AMIENS;080;SOMME;0801895A;ECOLE PRIMAIRE JEAN ZAY NATTIERS;80001;ABBEVILLE;public;88.9
2021-2022;AMIENS;080;SOMME;0802030X;ECOLE ELEMENTAIRE VICTORIEN GIROT;80368;FRIVILLE ESCARBOTIN;public;81.8
2021-2022;AMIENS;080;SOMME;0802039G;ECOLE PRIMAIRE;80598;NOUVION;public;100.7
2021-2022;TOULOUSE;081;TARN;0810130B;ECOLE PRIMAIRE VILLEGOUDOU;81065;CASTRES;public;80.5
2021-2022;TOULOUSE;081;TARN;0810162L;ECOLE PRIMAIRE;81281;SEMALENS;public;107.5
2021-2022;TOULOUSE;081;TARN;0810163M;ECOLE PRIMAIRE;81286;SERVIES;public;101.9
2021-2022;TOULOUSE;081;TARN;0810170V;ECOLE PRIMAIRE SAINT HILAIRE;81120;LABRUGUIERE;public;110.3
2021-2022;TOULOUSE;081;TARN;0810184K;ECOLE PRIMAIRE;81046;CADALEN;public;113.7
2021-2022;TOULOUSE;081;TARN;0810200C;ECOLE PRIMAIRE;81112;LABASTIDE DE LEVIS;public;116.5
2021-2022;TOULOUSE;081;TARN;0810254L;ECOLE PRIMAIRE;81010;AMBIALET;public;100.3
2021-2022;TOULOUSE;081;TARN;0810261U;ECOLE PRIMAIRE VILLENEUVE;81077;CURVALLE;public;95.7
2021-2022;TOULOUSE;081;TARN;0810297H;ECOLE PRIMAIRE AUGUSTIN MALROUX;81033;BLAYE LES MINES;public;94.4
2021-2022;TOULOUSE;081;TARN;0810459J;ECOLE PRIMAIRE;81052;CAMBON;public;114.4
2021-2022;TOULOUSE;081;TARN;0810481H;ECOLE PRIMAIRE;81211;POULAN POUZOLS;public;118.9
2021-2022;TOULOUSE;081;TARN;0810541Y;ECOLE PRIMAIRE;81088;FAUCH;public;104.0
2021-2022;TOULOUSE;081;TARN;0810549G;ECOLE PRIMAIRE;81147;LOMBERS;public;105.7
2021-2022;TOULOUSE;081;TARN;0810652U;ECOLE PRIMAIRE NEGRIN;81163;MAZAMET;public;102.0
2021-2022;TOULOUSE;081;TARN;0810676V;ECOLE PRIMAIRE RIGAUTOU;81209;PONT DE LARN;public;107.7
2021-2022;TOULOUSE;081;TARN;0810677W;ECOLE PRIMAIRE GINETTE ET GILBERT FOURNES;81209;PONT DE LARN;public;105.5
2021-2022;TOULOUSE;081;TARN;0810680Z;ECOLE PRIMAIRE;81150;LUGAN;public;136.2
2021-2022;TOULOUSE;081;TARN;0810697T;ECOLE PRIMAIRE;81310;VEILHES;public;123.1
2021-2022;TOULOUSE;081;TARN;0810709F;ECOLE PRIMAIRE;81032;BLAN;public;101.2
2021-2022;TOULOUSE;081;TARN;0810711H;ECOLE PRIMAIRE;81054;CAMBOUNET SUR LE SOR;public;103.6
2021-2022;TOULOUSE;081;TARN;0810721U;ECOLE PRIMAIRE;81142;LEMPAUT;public;95.6
2021-2022;TOULOUSE;081;TARN;0810729C;ECOLE PRIMAIRE;81235;SAINT AFFRIQUE LES MONTAGNES;public;106.9
2021-2022;TOULOUSE;081;TARN;0810733G;ECOLE PRIMAIRE;81325;VIVIERS LES MONTAGNES;public;108.4
2021-2022;TOULOUSE;081;TARN;0810759K;ECOLE PRIMAIRE CENTRE;81140;LAVAUR;public;105.2
2021-2022;TOULOUSE;081;TARN;0810765S;ECOLE PRIMAIRE;81011;AMBRES;public;125.2
2021-2022;TOULOUSE;081;TARN;0810883V;ECOLE PRIMAIRE PRIVEE BON SAUVEUR;81004;ALBI;privé sous contrat;116.5
2021-2022;TOULOUSE;081;TARN;0810888A;ECOLE PRIMAIRE PRIVEE SAINT GEORGES;81257;SAINT JUERY;privé sous contrat;105.4
2021-2022;TOULOUSE;081;TARN;0810891D;ECOLE PRIMAIRE PRIVEE SAINT THEODORIC BALAT;81099;GAILLAC;privé sous contrat;116.4
2021-2022;TOULOUSE;081;TARN;0810899M;ECOLE PRIMAIRE PRIVEE CROIX HAUTE;81060;CARMAUX;privé sous contrat;99.2
2021-2022;TOULOUSE;081;TARN;0810919J;ECOLE PRIMAIRE PRIVEE LA COLOMBIERE;81273;SAIX;privé sous contrat;114.9
2021-2022;TOULOUSE;081;TARN;0810928U;ECOLE PRIMAIRE PRIVEE SACRE COEUR;81004;ALBI;privé sous contrat;114.9
2021-2022;TOULOUSE;081;TARN;0810972S;ECOLE PRIMAIRE SAINT EXUPERY;81004;ALBI;public;67.9
2021-2022;TOULOUSE;081;TARN;0811114W;ECOLE PRIMAIRE;81288;SOREZE;public;94.7
2021-2022;TOULOUSE;081;TARN;0811115X;ECOLE PRIMAIRE DU FIGUIER;81092;FIAC;public;116.9
2021-2022;TOULOUSE;081;TARN;0811116Y;ECOLE ELEMENTAIRE PUBLIQUE DE GIROUSSENS;81104;GIROUSSENS;public;116.1
2021-2022;TOULOUSE;081;TARN;0811131P;ECOLE PRIMAIRE PRIVEE PUYSEGUR LA FITE;81220;RABASTENS;privé sous contrat;112.9
2021-2022;TOULOUSE;081;TARN;0811149J;ECOLE PRIMAIRE BISSEOUS;81065;CASTRES;public;68.1
2021-2022;TOULOUSE;081;TARN;0811157T;ECOLE PRIMAIRE VENT D AUTAN;81062;FONTRIEU;public;92.6
2021-2022;TOULOUSE;081;TARN;0811169F;ECOLE PRIMAIRE SAINTE CECILE D AVES;81099;GAILLAC;public;118.2
2021-2022;TOULOUSE;081;TARN;0811171H;ECOLE PRIMAIRE MIXTE;81051;CAHUZAC SUR VERE;public;106.2
2021-2022;TOULOUSE;081;TARN;0811184X;ECOLE PRIMAIRE MICHEL PAUTHE;81117;LABESSIERE CANDEIL;public;113.7
2021-2022;TOULOUSE;081;TARN;0811187A;ECOLE PRIMAIRE;81317;VILLEFRANCHE D ALBIGEOIS;public;97.4
2021-2022;TOULOUSE;081;TARN;0811188B;ECOLE PRIMAIRE ROCHEGUDE;81004;ALBI;public;93.4
2021-2022;TOULOUSE;081;TARN;0811236D;ECOLE PRIMAIRE LA LAUZE;81163;MAZAMET;public;79.8
2021-2022;TOULOUSE;081;TARN;0811245N;ECOLE PRIMAIRE JEAN JACQUES ROUSSEAU;81004;ALBI;public;109.1
2021-2022;TOULOUSE;081;TARN;0811270R;ECOLE PRIMAIRE PRIVEE CALANDRETA CASTRESA;81065;CASTRES;privé sous contrat;119.9
2021-2022;TOULOUSE;081;TARN;0811315P;ECOLE LOUISE MICHEL;81099;GAILLAC;public;101.3
2021-2022;TOULOUSE;082;TARN-ET-GARONNE;0820092E;ECOLE PRIMAIRE JEAN LACAZE;82062;FINHAN;public;97.3
2021-2022;TOULOUSE;082;TARN-ET-GARONNE;0820100N;ECOLE ELEMENTAIRE;82067;GENSAC;public;101.2
2021-2022;TOULOUSE;082;TARN-ET-GARONNE;0820153W;ECOLE PRIMAIRE JULES FERRY;82096;LA VILLE DIEU DU TEMPLE;public;88.2
2021-2022;TOULOUSE;082;TARN-ET-GARONNE;0820167L;ECOLE PRIMAIRE;82105;MAS GRENIER;public;104.2
2021-2022;TOULOUSE;082;TARN-ET-GARONNE;0820171R;ECOLE ELEMENTAIRE SIMONE VEIL;82108;MEAUZAC;public;109.1
2021-2022;TOULOUSE;082;TARN-ET-GARONNE;0820178Y;ECOLE ELEMENTAIRE PIERRE CHABRIE;82112;MOISSAC;public;74.3
2021-2022;TOULOUSE;082;TARN-ET-GARONNE;0820219T;ECOLE PRIMAIRE D APPLICATION MARCEL GUERRET;82121;MONTAUBAN;public;115.5
2021-2022;TOULOUSE;082;TARN-ET-GARONNE;0820255G;ECOLE ELEMENTAIRE;82140;PIQUECOS;public;110.0
2021-2022;TOULOUSE;082;TARN-ET-GARONNE;0820328L;ECOLE PRIMAIRE;82031;CASTELMAYRAN;public;101.5
2021-2022;TOULOUSE;082;TARN-ET-GARONNE;0820376N;ECOLEPRIMAIRE LEO FERRE;82121;MONTAUBAN;public;80.9
2021-2022;TOULOUSE;082;TARN-ET-GARONNE;0820390D;ECOLE PRIMAIRE JACQUES;82121;MONTAUBAN;public;84.1
2021-2022;TOULOUSE;082;TARN-ET-GARONNE;0820414E;ECOLE ELEMENTAIRE DE FONNEUVE;82121;MONTAUBAN;public;100.3
2021-2022;TOULOUSE;082;TARN-ET-GARONNE;0820449T;ECOLE ELEMENTAIRE;82161;SAINT ETIENNE DE TULMONT;public;101.3
